ai9cmlqwh9krp|the prophet by kahlil gibran is a very beautiful  inspiring writing which really resonated within me  it felt as truth  i feel that with good patience and deep contemplation  this book can lead you to a profound understanding of your own life and all others around you i first read about kahlil gibran in a book calledthe lost teachings of atlantis  that book answered all my spiritual questions about the meaning of life  who and what we are and more in a very easily understandable manner and all of it corresponds with the writing of kahlil gibran  i highly recommend reading that book also |5.0
a2nhd7luxvgtd3| the prophet  is a short read  my copy checks in at just under 100 pages   but its berevity belies both the power and beauty of gibran s words   at its simplest  it is a discourse on the human condition  love  work  joy and sorrow  crime and punishment  reason and passion  gibran runs the gamut of emotion and being  laying bare the paradox of who we are as human beings   while the tone is somewhat mystical  which i didn t really care for   the sheer poetic beauty of his writing moved me for example  in the chapter  love   gibran writes       when love beckons to you  follow him    though his ways are hard and steep    and when his wings enfold you yield to him    though the sword hidden among his pinions may wound you    and when he speaks to you believe in him        for even as love crowns you so shall he crucify you   even as he is for you growth so is he for your pruning        the contrast  vivid metaphor and beautiful images were stunning and left me with much to think and reflect on about my own life  and the choices i ve made   it would be going too far to say that  as a result of reading  the prophet  i ve had an epiphany or  to take it to a ridiculous conclusion  some sort of a conversion   rather it has caused me to consider on a philosophical level what it is to be human means to me  and how i have demonstrated my  human ness  in my life part poetry  part philosophy  it is simultaneously thought provoking and emotional   undeniably readers will have a visceral reaction  although  apparently given the reviews of some  not all reactions are positive    highly recommended  if only to cause one to examine their own life   after all   the unexamined life is not worth living  |5.0
a1k1jw1c5cusuz|the prophet is about a mysterious religious thinker who is about to leave for his native land   before he goes  many people have just one question to ask him   in a very few words  he tells them his accumulated wisdom primarily in a nondenominational way   the only exceptions come in the references to rebirth   the essence of each brief lesson is that we have to step outside of our own perspective to see things in the way that god does and wants us to let me give you an example   when someone transgresses either man s laws or god s laws  we tend to condemn the person harshly and focus on punishment   this is like treating the person as though they have fallen below some level of what it is still to be human   yet no one does anything worse than what some person has done wrong before and will do wrong again surely  our reaction should still focus  like a mother s  on the fundamental humanness of the person and our desire to have the person be a contributing  loving  and helpful part of our community another way to think about the lessons of the prophet is to notice that nature loves a balance   if we interfere with nature  nature overreacts in some new way that counters our interference   this happens when we put too much phosphate into lakes   algae blooms expand exponentially to eat the phosphate   these lessons help us to see the balance that is missing in our initial reaction a good parallel can be found in the study of the brain   our initial reactions when frightened or threatened are focused in the oldest parts of the brain   this part of the brain triggers strong chemicals to be released that engage us in  quot fight or flight quot  reactions that can save our lives in the near term   in the  quot civilized quot  world  we often have these reactions just to stress   gibran is helping us move to our highest level of consciousness by choosing our reactions  and selecting reactions that integrate all parts of our brains plus our near  and long term best interests as individuals and as a community many eastern religions encourage one to become free of the conscious mind  and that sense of objectivity is captured nicely here   i have a feeling much like when meditating while i read the prophet  because of its calming influence on my overreactive senses i also think of this perspective like being on the moon and observing the circumstances on earth through a telescope   with such extreme distance should come detachment from the ego  to permit good thinking but none of these perspectives are directly suggested or alluded to   the moral lessons are simply there  with the briefest possible examples to make them clear   as such  they are masterpieces of good thinking  moral ethics  and fine communication the answers are so brief and so profound that you will want to discuss them   i suggest you select another member of your family  or a group of people from your house of worship   the lessons are best explored by discussing tangible situations that you face every day   certainly  it is desirable and appropriate to consider the direct teachings of your religious heritage and beliefs in this connection whenever you feel overwhelmed  turn to the page in the prophet that addresses your issue   like taking a warm bath  you will be soothed by the love for humanity in the answers gibran provides before you speak  ask yourself who is about to speak for you and what do they want |5.0
a2d6zvbg83s7ax|i love this book and have had several over the years  everyone should have a copy  i refer to it often  and am very pleased with this book recently purchased through amazon |5.0
abnaodh0qvm1h|its been a favorite since i discovered it in the mid 70 s  i keep coming back to it every so often  great for group meditations  personal reflection and a gift of love to others   |5.0
ads5apy1nktl4|khalil gibran s book  the prophet  has the power to transform the darkest feeling of pain in your heart into great release  what a blessing that it exists  each passage touches on a deep and universal topic  marriage  friendship  etc    the words  spoken profoundly and clearly from the mouth of the mystic and insightful prophet  who has nothing but words of wisdom to impart to those who gather around him  is a truly life affirming and transformative experience   please read this today  it will give you insight on the sacred aspects of all life choices and experiences that exist in the world |5.0
a1h456zkorawg7|i have drawn wisdom and counsel from the prophet for years   i bought this copy to pass on to a young co worker  it is a great gift for those sensitive ones who are struggling to find their way in life |5.0
a3k5uqz6i980gf|the book evokes emotions and insights that are deeply hidden in the soul  what a refreshing classic   have read it n number of times ever since my school days dr aquil busrai|5.0
a12w8nrsyr593i|jubran kahlil jubran had a teacher make a mistake on his name and wrote down  kahlil gibran  as when he arrived here from lebanon which was still part of the ottoman empire he went by gibran kahlil gibran  his poetry is as timeless as his view towards life and the world at large   everyone was his friend  one passage    34 half of what i say is meaningless  but i say it so that the other half may reach you  34  was used by john lennon in the white album on a tune called   34 julia   34  |5.0
a3a0zk5gthscuv|i plan to buy 3 more copies from amazon  for my departing son   distant friends last night  i made a mad dash to get a copy of this book  ten minutes before the book store closed  because i couldn t find my old one   i had been trying unsuccessfully for weeks to send out an sos to a life long friend whose comforting presence i really needed  even if just by phone   long  sun lit walks through my beautiful neighborhood lined with 100  year old oaks  magnolias  elms  and maple trees  did not make me feel any better   at home  the news is only reporting the political and ecomonic turmoil going on world wide  or the oscars  the latter which i could care less about   it was a very sad and loney moment back in miami i would naturally hit the beach  or watch the ocean from my balcony and forget the world   so  in desperation  i jumped in my vehicle  hit the book store  and called on the wisdom of mr  gibran   i sipped a glass of red  kicked back on my couch  and slowly read aloud each blessed passage on all the areas of life and the challenges they can present   i don t know why  but this book always makes me cry at the beginning and smile at the end   in little over an hour i d read slowly through each page  and felt 100  better on physical inspection  this would be the student slackers paradise book report choice   but don t be so easily deceived  because this book packs more useful information than any 50 pound college textbook  without the endless verbage of a 1 000 page russian novel it is small  the paper of good weight and quality  the ones i always purchase  at least   the print is big and the illustrations done by mr  gibran are simple yet humana and divinical   the words are brief and powerful  comforting and idiot proof   perfect healing food for the love starved yet attention deficit crazy world we now live in   i was first given this book by a friend  as a departing gift for a 7 000 land sea voyage  back in 1983 i hope to be there for my friend should he ever need me   i sent this book to him as my comforting presence |5.0
